Carne di maiale (in media, senza interiora, cotoletta, stinco), cruda Carne e frattaglie/Maiale	100	21.4	8.3	0	0	0	0	2.9	64	63	330	180	66	valorinutritivi.ch
Carne di manzo (in media, senza interiora e costine), cruda Carne e frattaglie/Manzo	100	21.4	5.4	0	0	0	0	2.4	45	53	330	180	69	valorinutritivi.ch
Carne di pollame con pelle (in media), cruda  Carne e frattaglie/Pollame	100	20	9	0	0	0	0	2.7	56	76	290	180	79	valorinutritivi.ch
Carne di pollame cruda (in media, senza interiora) Carne e frattaglie/Pollame	100	21.6	5.3	0.1	0	0	0	1.6	59	65	310	200	68	valorinutritivi.ch
Carne di pollame senza pelle (in media), cruda  Carne e frattaglie/Pollame	100	22.9	2.4	0.1	0	0	0	0.7	62	58	330	210	60	valorinutritivi.ch
Carne di vitello (in media, escluse le interiora e la cotoletta), cruda Carne e frattaglie/Vitello	100	21.1	4.8	0	0	0	0	1.9	66	71	340	200	68	valorinutritivi.ch
Carne salmistrata cruda (in media) Prodotti carnei e insaccati/Insaccati crudi	100	29.4	17.2	0.4	0	0	0.3	6.3	1840	74	450	230	1880	valorinutritivi.ch
Carne salmistrata da cuocere (in media) Prodotti carnei e insaccati/Insaccati cotti	100	19.8	15.6	0.7	0	0	0.7	6	1130	49	410	240	1640	valorinutritivi.ch
Carne secca (dei Grigioni, del Ticino o del Vallese) Prodotti carnei e insaccati/Insaccati crudi	100	39.3	3.5	0.4	0	0	0.4	1.6	1620	84	640	330	2610	valorinutritivi.ch
Carne secca appenzellese, cruda Prodotti carnei e insaccati/Insaccati crudi	100	32.6	1.9	0.5	0	0	0.5	0.9	1860	69	580	300	2870	valorinutritivi.ch
Carne tritata (media di manzo, vitello, maiale e pollo), cruda Carne e frattaglie/Vitello;Carne e frattaglie/Manzo;Carne e frattaglie/Maiale;Carne e frattaglie/Pollame	100	21.6	6.2	0	0	0	0	2.4	48	62	330	190	61	valorinutritivi.ch
Carne tritata (media di manzo,vitello, maiale e pollo), cotta in padella (senza aggiunta di grassi o sale) Carne e frattaglie	100	26.3	6.6	0	0	0	0	2.5	52	79	330	200	77	valorinutritivi.ch
Carota, al vapore (senza aggiunta di sale) Verdure/Verdure cotte (incl. conserve)	100	0.8	0.3	7	2.7	0	6.8	0.1	25	0	150	28	62	valorinutritivi.ch
Carota, cruda Verdure/Verdure fresche	100	0.8	0.3	6.6	2.6	0	6.4	0.1	28	0	160	26	59	valorinutritivi.ch
Castagne, crude Noci, semi e frutti oleosi	100	2.9	1.9	41.2	8.4	0	14	0.3	0.6	0	380	59	13	valorinutritivi.ch
Cavallo, filetto, cotto in padella (senza aggiunta di grassi o sale) Carne e frattaglie/Altre specie animali	100	27.8	2	0	0	0	0	0.9	51	71	300	220	12	valorinutritivi.ch
Cavallo, filetto, crudo Carne e frattaglie/Altre specie animali	100	21.4	1.9	0	0	0	0	0.9	44	52	330	190	9	valorinutritivi.ch
Cavolfiore, al vapore (senza aggiunta di sale) Verdure/Verdure cotte (incl. conserve)	100	2.4	0.3	2.3	2.4	0	2	0.1	13	0	290	48	19	valorinutritivi.ch
Cavolfiore, crudo Verdure/Verdure fresche	100	2.4	0.3	2.3	2.4	0	2	0.1	14	0	320	48	19	valorinutritivi.ch
Cavoli (in media), cotti (senza aggiunta di grassi o sale) Verdure/Verdure cotte (incl. conserve)	100	2.2	0.3	2.9	2.6	0	2.7	0.1	10	0	250	47	41	valorinutritivi.ch
Cavoli (in media), crudi Verdure/Verdure fresche	100	2.2	0.3	3	2.7	0	2.9	0.1	12	0	290	50	44	valorinutritivi.ch
