Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asparago, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,109,26,0.2,0,0,0,0,3.1,3,0.1,1.6,2.1,0,0,93,28,14,0,169,161,0.1,0.12,0.06,0,0.88,44.3,0.16,11.1,0,1.7,230,2.6,50,21,16,53,0.7,6.7,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asparago, crudo",Verdure/Verdure fresche,,per 100 g di parte edibile,115,27,0.2,tr.,tr.,tr.,0,3.3,3.2,0.1,1.7,2.2,0,0,92,31,16,0,188,179,0.13,0.13,0.07,0,1.1,73.9,0.19,14.9,0,1.7,270,3,53,22,18,56,0.9,7,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Avocado, crudo","Noci, semi e frutti oleosi;Verdure/Verdure fresche",,per 100 g di parte edibile,594,144,14.2,2.9,8.9,1.8,0,0.8,0.8,tr.,3,1.8,0,0,76.4,17,9,0,102,78,0.06,0.16,0.19,0,2,29,0.86,6.7,0,1.85,520,7,6,16,33,44,1,1,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bacca di sambuco nero, cruda",Frutta/Frutta fresca,,per 100 g di parte edibile,219,52,0.5,0,0,0.3,0,7.4,7.4,0,4,2.5,0,0,84,54,27,0,325,325,0.07,0.07,0.25,0,1.6,17,0.16,18,0,1,300,1,7,37,30,57,1.6,3,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bacche (in media), cotte (senza aggiunta di zucchero),",Frutta/Frutta cotta (incl. conserve),,per 100 g di parte edibile,155,37,0.5,0,0.1,0.3,0,6.1,6.1,0,2.4,0.8,0,0,90.3,1,0,0,4,4,0.01,0.02,0.03,0,0.34,15,0.15,21.9,0,0.38,99,1.3,15,20,10,19,0.4,1.2,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bacche (in media), crude",Frutta/Frutta fresca,,per 100 g di parte edibile,177,42,0.5,0,0.1,0.2,0,7.2,7.2,0,2.8,0.8,0,0,88.7,1,0,0,5,5,0.02,0.03,0.04,0,0.4,28.5,0.17,51.9,0,0.36,160,2.1,14,20,12,23,0.5,1.2,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bami Goreng, preparato",Cibi/Cibi asiatici,,per 100 g di parte edibile,548,130,2.4,0.3,1.3,0.5,44,13.2,1.4,11.3,0.9,13.5,1,0,70.1,45,28,11,203,203,0.12,0.08,0.14,0.05,3.6,4.3,0.32,11.7,0.3,0.33,190,400,620,9.5,18,120,0.7,1.6,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banana, cruda",Frutta/Frutta fresca,,per 100 g di parte edibile,403,95,0.3,0.1,tr.,0.1,0,21,17.2,3.8,2,1.1,0,0,74,15,7,0,88,63,0.05,0.03,0.28,0,0.61,21.5,0.23,13,0,0.29,390,1,110,8,30,22,0.4,2,0.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banana, secca",Frutta/Frutta secca,,per 100 g di parte edibile,1160,273,1,0.4,0.1,0.2,0,60.2,43.7,16.5,5.5,3,0,0,28,17,8,0,100,100,0.1,0.18,0.81,0,2,33.3,0.54,4,0,0.6,1150,8,300,20,90,75,1.3,8.1,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbabietola, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,228,54,0.1,0,0,0.1,0,10,10,0,3,1.8,0.1,0,85.1,1,1,0,8,8,0.02,0.05,0.04,0,0.23,62.3,0.16,5.5,0,0.06,430,58,97,20,22,53,1,0.5,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbabietola, cruda",Verdure/Verdure fresche,,per 100 g di parte edibile,192,46,0.1,0,0,0.1,0,8.4,8.4,0,2.5,1.5,0.1,0,86.2,1,1,0,7,7,0.02,0.04,0.04,0,0.23,83,0.15,5.5,0,0.05,410,58,82,17,21,45,0.9,0.4,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barretta ai cereali, con copertura di cioccolato",Dolciumi/Barrette,,per 100 g di parte edibile,1920,459,20.3,11,6.7,2,4,58,37.2,19.9,5.5,8.5,0.4,0,6.3,30,25,20,61,61,0.17,0.2,0.14,0,1.09,21.9,0.37,2.6,0,1.23,450,150,190,110,65,210,2.3,7.2,1.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barretta ai cereali, senza copertura o ripieno",Dolciumi/Barrette,,per 100 g di parte edibile,1740,415,12.7,5.1,4.6,2.2,0,64.1,32.2,31.4,6.1,7.9,0.4,0,8.3,9,4,0,53,53,0.18,0.07,0.17,0,1.42,23.4,0.41,1.8,0,1.44,260,180,280,27,58,170,2.1,1.8,1.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basilico, fresco",Verdure/Erbe aromatiche,,per 100 g di parte edibile,194,46,0.8,0.1,0,0.4,0,5.1,5,0.1,3.1,3.1,0,0,86.4,811,405,0,4865,4820,0.08,0.31,0.18,0,1.1,50,0.2,26,0,1,300,9,35,250,11,37,5.5,0.9,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastoncini alle nocciole,Dolciumi/Biscotti,,per 100 g di parte edibile,2360,567,36.6,12.5,17.7,3.1,140,47,22.6,22.3,3.7,10.5,0.1,0,3.3,184,178,173,68,68,0.19,0.08,0.2,0.28,0.61,29.5,0.88,0.5,0.7,5.62,280,56,98,61,55,180,1.9,11,1.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastoncini di pasta sfoglia ,Snack salati/Prodotti di pasta sfoglia,,per 100 g di parte edibile,2060,496,33.5,14.7,11.6,4,45,40.4,0.3,39.7,1.8,7.1,2.6,0,17.7,312,301,290,133,133,0.09,0.03,0.09,0.02,0.48,4.8,0.22,0,1.3,4.56,120,1030,1570,14,21,79,0.9,1.5,0.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bastoncino di pesce (impanato e prefritto), cotto al forno (senza aggiunta di grasso)",Pesce/Pesci di mare,,per 100 g di parte edibile,1040,248,12.2,1,7,3.4,53,17.4,0.1,17.2,1,16.8,0.6,0,52.9,2,2,2,1,1,0.06,0.04,0.13,0.9,1.41,7.8,0.26,0,0.8,1.25,290,240,700,12,20,150,0.4,100,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bastoncino di pesce (impanato e prefritto), cotto in olio di colza HOLL",Pesce/Pesci di mare,,per 100 g di parte edibile,1250,300,18.6,1.4,11.9,4.1,51,16.6,0.1,16.4,0.9,16,0.6,0,48.1,2,2,2,1,1,0.06,0.04,0.11,0.86,1.46,7.4,0.25,0,0.8,1.61,280,230,670,11,19,140,0.4,97,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bastoncino di pesce, impanato e prefritto",Pesce/Pesci di mare,,per 100 g di parte edibile,962,230,11.7,0.9,6.7,3.2,47,15.3,0.1,15.1,0.8,15.5,0.6,0,56.9,2,2,2,1,1,0.07,0.04,0.13,0.88,1.49,8.6,0.29,0,0.9,1.19,300,250,610,10,19,150,0.5,89,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berner Hobelkäse (formaggio rotoli),Latte e prodotti di latte/Formaggio a pasta dura,,per 100 g di parte edibile,2030,491,41.2,nd,nd,nd,nd,0,nd,0,0,30,1.7,0,21.9,nd,nd,nd,nd,nd,nd,0.56,nd,0.83,nd,nd,0.43,nd,0.8,nd,nd,690,nd,nd,nd,nd,nd,nd,nd,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bevanda al malto e cacao, arricchita di vitamine e minerali, polvere (Media di prodotti commerciali)",Bevande analcoliche/Bevande a base d'estratto di malto,,per 100 g di parte edibile,1620,382,3.6,2.4,1.1,0.1,4,76.2,52.1,0,4.4,8.9,0.5,0,5.2,637,637,637,1,1,0.88,1.11,1.11,1.99,12.74,238,4.78,47.7,4,9.55,660,200,59,440,190,470,12,2.8,1.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bevanda al malto e cacao, arricchita di vitamine e minerali, preparata (con latte)",Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Bevande a base d'estratto di malto,,per 100 g di parte edibile,354,84,3.4,2.1,0.8,0.2,12,9.6,8,0,0.3,3.6,0.1,0,82.8,82,81,80,15,15,0.08,0.27,0.1,0.33,0.99,20.9,0.65,4.1,0.3,0.76,190,50,93,140,23,120,0.8,9.1,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bevanda al riso, al naturale",Latte e prodotti di latte/Prodotti sostituti del latte,1,per 100 ml,220,52,1.1,0.1,0.3,0.6,0,9.9,6.6,0.4,0.4,0.4,0.1,0,87.6,1,0,0,5,5,0.02,0.01,0.01,0,0.18,5,0.15,0.5,0.3,0.48,16,22,51,5,3.3,10,0,20,0.1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bevanda alla soia, naturale",Latte e prodotti di latte/Prodotti sostituti del latte,1.08,per 100 ml,167,40,2.2,0.3,0.4,1.1,0,0.8,0.8,0,0.6,3.9,0.1,0,100.4,0,0,0,2,2,0.09,0.01,0.05,0,0.19,28.2,0.1,0,0,0.23,120,26,7.6,13,17,54,0.4,2.2,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bevanda gassata a base di cola edulcorata,Bevande analcoliche/Bevande a ridotto contenuto calorico,1,per 100 ml,1,0,tr.,tr.,tr.,tr.,0,0,0,tr.,0,0,0,0,99.8,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,1,5,11,4,1,8,0,1,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bevanda gassata a base di cola zuccherata,Bevande analcoliche/Bevande zuccherate,1,per 100 ml,170,40,0,0,0,0,0,10,10,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,5,1,15,tr.,2,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biber,Dolciumi/Altre pasticceri dolci,,per 100 g di parte edibile,1500,355,5.6,0.7,3,1.3,22,65.6,36.9,28.4,3,7.8,0,0.7,18.1,8,8,7,2,2,0.08,0.12,0.11,0.06,0.52,9.8,0.24,0.5,0.1,2.47,140,6,37,52,30,97,1.3,2.7,0.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bietola da coste, cruda",Verdure/Verdure fresche,,per 100 g di parte edibile,97,23,0.2,tr.,tr.,tr.,0,2.7,0.5,2.2,1,2.1,0.4,0,92.4,236,118,0,1415,1415,0.07,0.13,0.08,0,0.4,17.8,0.18,21.3,0,0.03,380,170,100,80,81,43,2.3,1,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bietola, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,121,29,0.3,0,0,0,0,3.4,0.6,2.8,1.2,2.6,0.5,0,92.5,279,140,0,1675,1675,0.07,0.15,0.09,0,0.42,14,0.2,15.4,0,0.04,420,190,130,100,96,54,2.4,1.3,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birchermüesli, preparato (non zuccherato)",Cibi/Muesli e pappa,,per 100 g di parte edibile,367,87,3.2,1.2,1,0.7,5,11.2,8.3,2.8,1.9,2.6,0.1,0,81.2,18,16,15,19,19,0.05,0.09,0.05,0.09,0.19,13.3,0.23,4.5,0,0.55,160,20,46,58,18,75,0.4,5.8,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birra ai cinque cereali,Bevande alcoliche/Birra,1,per 100 ml,165,40,0,0,0,0,0,2,2,0,0.2,0.6,0,4.1,92.5,0,0,0,0,0,0,0.04,0.09,0.1,0.77,5,0.09,0,0,0,43,1.4,11,3.6,11,16,0,tr.,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birra panaché (media),Bevande alcoliche/Birra,1,per 100 ml,166,39,0,0,0,0,0,7.4,7.1,0,0,0.2,0,1.3,91.1,0,0,0,0,0,0,0.02,0.02,0.01,0.27,2.1,0.01,0,0,0,24,2.6,13,4.5,11,7,0.1,1.7,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birra, analcolica",Bevande alcoliche/Birra,1,per 100 ml,99,23,0,0,0,0,0,4.9,2.6,0,0,0.4,0,0.3,93.3,0,0,0,0,0,0.01,0.01,0.04,0.02,0.65,5,0.08,0,0,0,34,1.5,19,4.8,6.2,11,0,1,8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birra, lager",Bevande alcoliche/Birra,1,per 100 ml,176,42,0,0,0,0,0,3.1,2.2,0,0,0.5,0,4,91.9,0,0,0,0,0,0,0.03,0.06,0.02,0.77,6.3,0.03,0,0,0,55,1.9,17,3.5,9.6,19,0,1.5,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscotti al cocco,Dolciumi/Biscotti,,per 100 g di parte edibile,2350,567,41.4,39.1,1.9,0.3,0,37.1,35.9,0,9.4,6.8,0.2,0,6,0,0,0,0,0,0.02,0.07,0.06,0.02,0.4,14.2,0.03,0,0,0,480,98,260,8.3,66,120,1.8,5.3,0.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscotti alle nocciole,Dolciumi/Biscotti,,per 100 g di parte edibile,1970,473,27.7,8,16,2.3,32,47.4,23.3,24,3.5,6.7,0.1,0,13.5,100,94,89,64,64,0.09,0.07,0.11,tr.,0.57,11,0.3,0.6,0,7.27,220,52,30,80,49,160,1.6,2,0.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscotti prussiani,Dolciumi/Biscotti,,per 100 g di parte edibile,1830,438,22.4,13.2,5.2,1.3,59,53.8,27.4,26,1.2,4.7,0.8,0,18.3,205,198,190,89,89,0.06,0.02,0.06,0,0.29,3,0.14,0,0.4,0.58,75,310,480,10,14,52,0.6,0.6,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biscotti savoiardi,Dolciumi/Biscotti,,per 100 g di parte edibile,1740,413,8.3,2.4,3.2,1.2,281,71.8,34.9,36.8,1.4,12.2,0.8,0,5,168,167,166,9,9,0.07,0.2,0.1,1,0.26,25,0.9,0,1,1.53,140,310,150,65,15,330,2.1,8,1.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blanc battu alla frutta, con edulcoranti",Latte e prodotti di latte/Formaggio fresco e quark,,per 100 g di parte edibile,287,68,0.2,0.1,0,0,0,8.4,5.3,2.6,0.3,8,0.1,0,83,4,3,2,12,12,0.03,0.34,0.04,0.39,0.28,15.1,0.37,1.3,0,0.16,180,48,110,130,13,140,0.1,19,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blanc battu, naturale, magro",Latte e prodotti di latte/Formaggio fresco e quark,,per 100 g di parte edibile,200,47,0,0,0,0,1,3.9,3.9,0,0,7.8,0.1,0,86.5,5,4,4,3,3,0.04,0.32,0.06,0.36,0.2,24,0.35,0,0.1,0,140,44,89,130,12,120,0.2,10,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombolone farcito ,Dolciumi/Altre pasticceri dolci,,per 100 g di parte edibile,1410,336,12.8,6.8,4,0.9,104,45.8,17.1,28.5,2.2,8.4,0.6,0,32.2,130,126,122,50,50,0.05,0.1,0.1,tr.,0.48,14,0.38,0.2,1,0.78,110,250,400,38,16,100,1.3,4.1,0.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bresaola,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,704,167,3.9,1.6,1.9,0.2,65,0.4,tr.,tr.,0,32.4,6.8,0,58.2,0,0,tr.,0,tr.,0.12,0.6,0.53,tr.,tr.,19,tr.,0,0.5,0.12,320,2730,tr.,35,tr.,140,7.1,tr.,4.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broccoli, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),,per 100 g di parte edibile,119,28,0.4,0.1,0.1,0.2,0,2.2,2.1,0.1,2.7,2.7,0,0,92,79,40,0,476,476,0.07,0.11,0.18,0,0.77,33.5,0.68,78.2,0,0.96,300,11,71,85,22,61,1.1,14,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broccoli, crudi",Verdure/Verdure fresche,,per 100 g di parte edibile,131,31,0.4,0.1,0.1,0.2,0,2.4,2.3,0.1,3,3,0,0,90.7,92,46,0,550,550,0.09,0.13,0.21,0,1,58.1,0.83,108.5,0,1,370,13,78,93,25,67,1.4,15,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodo di carne preparato,Cibi/Brodi e zuppe,1,per 100 g di parte edibile,20,5,0.3,0.2,0.1,0,0,0.2,0,0.1,tr.,0.3,1.1,0,98,0,0,0,0,0,tr.,0.01,0.01,1,0.83,23,0.14,0,0,0,54,420,330,1,10,13,0.2,3,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodo di pollo preparato,Cibi/Brodi e zuppe,1,per 100 g di parte edibile,21,5,0.3,0.1,0.1,0.1,5,0.3,0.1,0.1,tr.,0.3,1,0,98.1,0,0,0,0,0,tr.,0.01,0.01,0.4,1.2,23,0.18,0,0,0,10,400,290,6,11,5,tr.,2.8,tr.,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brodo di verdura, preparato",Cibi/Brodi e zuppe,1,per 100 g di parte edibile,26,6,0.4,0.1,0.2,0.1,0,0.4,0.1,0.2,tr.,0.3,0.9,0,97.5,0,0,0,2,2,0.11,0.01,0,0,0.1,1,0.03,0,0,0,8,360,280,1,4,3,0.1,3.6,0,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunsli di Basilea,Dolciumi/Biscotti,,per 100 g di parte edibile,2150,515,29.9,5.7,16.4,5.4,0,43.3,39.4,3.3,6.8,14.8,0.1,0,7.6,1,0,0,5,5,0.09,0.51,0.08,0.01,1.05,28.4,0.31,0.2,0,12.32,550,56,100,140,140,270,3.1,1.5,2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccia d'arancia candita,Dolciumi/Altri dolciumi,,per 100 g di parte edibile,1300,306,0.3,0.1,0.1,0.1,0,74.3,74.3,0,2.3,0.4,0,0,21.5,33,17,0,200,200,0.04,0.03,0.06,0,0.3,4,0.15,4,0,0,70,1,1,50,7,7,0.3,0.5,0.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budino, al caramello",Dolciumi/Creme e budini,,per 100 g di parte edibile,527,125,2.1,1.4,0.6,0.1,12,23,20.1,2.9,0.1,3.4,0.2,0,69.3,38,38,37,8,8,0.03,0.2,0.03,0.3,0.1,8,tr.,0,0.1,0.16,150,70,95,94,9,77,tr.,6.2,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budino, al cioccolato",Dolciumi/Creme e budini,,per 100 g di parte edibile,511,121,2.6,0.5,1.1,0.9,3,21,12.1,8.9,1,3,0.3,0,71.2,25,24,22,19,19,0.14,0.16,0.02,0.08,0.3,3,0.2,2,0,0.11,180,130,51,90,14,80,0.5,3.2,0.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Budino, alla vaniglia",Dolciumi/Creme e budini,,per 100 g di parte edibile,429,102,2.1,0.3,0.9,0.8,7,18,10.4,7.6,0.1,2.8,0.3,0,76.2,31,30,29,13,13,0.1,0.14,0.02,0.09,0.3,0,0.3,0,0,0.13,120,140,120,96,10,40,0.1,5.9,0.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bürli di San Gallo (farina semi-bianca),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",,per 100 g di parte edibile,979,231,1,0.1,0.1,0.5,0,44.6,0.3,43.9,3.5,9.1,2.1,0,42.5,0,0,0,0,0,0.15,0.07,0.18,0,0.78,20.7,0.37,0,0,0.27,140,840,1280,16,37,130,1.7,1.2,1.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burro da cucina,Latte e prodotti di latte/Panna e burro;Grassi e oli/Grassi,0.9,per 100 g di parte edibile,3060,745,82.2,49.3,19.3,3.8,221,0.7,0.6,0,0,0.5,0,0,16.6,856,825,794,374,370,0,0.03,0,0,0,0,0,0,1.3,1.75,20,10,12,16,1.4,21,0,0,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
