Food Name,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Calcium,Source,Price,Package Size,Package Size Parsed
Bread garlic or herb homemade cooked,100,8.8,11.4,40.8,3.6,0,3.7,,563,18,149,1.23,104,Australian Government,,,
Bread gluten free,100,5.5,3.9,36.6,3.9,0,2.6,14.7,526,0,190,1,50,Australian Government,,,
Bread gluten free toasted,100,6.5,4.6,43.6,4.6,0,3.1,,626,0,226,1.19,60,Australian Government,,,
Bread mixed grain,100,11.2,5,36.4,5.8,0,1.8,14.6,423,0,196,1.83,95,Australian Government,,,
Bread mixed grain toasted,100,13.1,5.9,42.9,6.9,0,2.2,,498,0,230,2.15,112,Australian Government,,,
Bread roll from white flour,100,9.4,3,45,3,0,4.1,18.75,537,0,134,1.27,112,Australian Government,,,
Bread roll from white flour toasted,100,10.9,3.5,52.4,3.5,0,4.8,,625,0,155,1.48,131,Australian Government,,,
Bread roll from wholemeal flour,100,10.1,3,45.2,5.8,0,3,19.5,560,0,190,2.5,90,Australian Government,,,
Bread roll from wholemeal flour toasted,100,11.9,3.5,53.1,6.9,0,3.5,,659,0,224,2.94,106,Australian Government,,,
Bread roll mixed grain,100,11.1,3,40.3,5.6,0,2.3,16.8,660,0,290,4.7,160,Australian Government,,,
Bread roll mixed grain toasted,100,13.1,3.5,47.4,6.6,0,2.7,,776,0,341,5.53,188,Australian Government,,,
Bread roll topped with cheese,100,12.4,9,36.1,2.4,0,3.4,,567,22,121,1.05,242,Australian Government,,,
Bread roll topped with cheese & bacon,100,16.6,11.2,27.3,1.8,0,2.7,,859,33,185,0.92,222,Australian Government,,,
Breadcrumbs white,100,14.2,3.8,64.8,4.3,0,4,,664,0,178,2.2,85,Australian Government,,,
Breakfast cereal beverage non-chocolate flavours added vitamins A B1 B2 B3 B6 B12 C & folate & Ca,100,3.1,1.5,12.4,0.8,0,7,13.7,49,0,152,0.38,148,Australian Government,,,
Breakfast cereal flakes of corn added vitamins B1 B2 B3 C & folate Fe & Zn,100,8.6,0.6,80.2,3.2,0,4.2,18,550,0,100,8.6,2,Australian Government,,,
Breakfast cereal flakes of corn unfortified,100,7.3,2.9,75.6,4,0,7.7,15,270,0,140,0.99,3,Australian Government,,,
Breakfast cereal mixed grain rice & wheat flakes added vitamins B1 B2 B3 B6 & folate Ca Fe & Zn,100,18.2,4.1,70.5,2.7,0,13.2,22.4,474,0,116,13.8,936,Australian Government,,,
Breakfast cereal mixed grain wheat & oat flakes apricot & sultana added vitamins B1 B2 B3 & folate & Fe,100,8.8,1.5,71.6,8.2,0,25.3,23.8,32,0,388,8.6,31,Australian Government,,,
Breakfast cereal mixed grain wheat oat & corn extruded added vitamins B1 B2 B3 B6 C & folate Ca & Fe,100,23.3,2.5,62.8,2.5,0,28,18.7,602,0,137,11.19,284,Australian Government,,,
Breakfast cereal mixed grain wheat rice & oat flakes honey unfortified,100,8.4,4.1,65,12.5,0,11.9,19,220,0,270,2.6,27,Australian Government,,,
Breakfast cereal puffed or popped rice added vitamins B1 B2 B3 C & folate Fe & Zn,100,6.8,1.1,81.2,2.1,0,6.2,21.3,658,0,101,15.5,6,Australian Government,,,
Breakfast cereal puffed or popped rice cocoa coating added vitamins B1 B2 B3 C & folate Ca Fe & Zn,100,5,2.9,83.2,2.6,0,30.4,46.2,496,0,208,13.8,388,Australian Government,,,
Breakfast cereal puffed or popped rice no added sugar or salt unfortified,100,8.5,3,77.6,2.8,0,0.6,20.7,5,0,200,0.63,6,Australian Government,,,
Breakfast cereal wheat bran flakes sultanas added vitamins B1 B2 B3 B6 & folate Fe & Zn,100,9.8,1.5,63.3,14.8,0,24.5,21.84,269,0,757,13.53,56,Australian Government,,,
Breakfast cereal wheat bran pellets added vitamins B1 B2 & folate,100,13.4,4.9,40.8,27.5,0,14.9,19.5,360,0,949,10.8,64,Australian Government,,,
Breakfast cereal whole wheat biscuit added vitamins B1 B2 B3 & folate Fe & Zn,100,12.1,2.2,62.8,11.1,0,1.9,18.6,300,0,350,14,31,Australian Government,,,
Breakfast cereal whole wheat biscuit bran added vitamins B1 B2 B3 & folate & Fe,100,12.3,5.3,55.8,17,0,8,75.4,415,0,540,7.5,43,Australian Government,,,
